,MAE,RMSE
0.1,2.6097430172677836,3.5330874118998974
0.2,2.720893492225143,3.67657770231221
0.30000000000000004,2.7603318057233137,3.7151443374847704
0.4,2.7944536173778403,3.7510349935907983
0.5,2.8504139180490062,3.812531592436589
0.6,2.939361991302979,3.8969124161999136
0.7000000000000001,3.01797717019948,3.987435155166319
0.8,3.241969650384859,4.212302293680015
0.9,3.31113871711515,4.2863634277867515
1.0,3.3281462400513946,4.306520562238719
